Barcode,Name,Price,InStock
BRC100001,Item 1,49.26,419
BRC100002,Item 2,88.04,474
BRC100003,Item 3,98.44,408
BRC100004,Item 4,96.12,249
BRC100005,Item 5,97.07,366
BRC100006,Item 6,91.88,341
BRC100007,Item 7,55.31,387
BRC100008,Item 8,79.51,314
BRC100009,Item 9,21.94,85
BRC100010,Item 10,59.17,106
BRC100011,Item 11,57.38,170
BRC100012,Item 12,69.9,447
BRC100013,Item 13,76.17,97
BRC100014,Item 14,67.57,373
BRC100015,Item 15,44.21,123
BRC100016,Item 16,9.85,147
BRC100017,Item 17,29.86,57
BRC100018,Item 18,49.89,2
BRC100019,Item 19,82.44,490
BRC100020,Item 20,56.94,463
BRC100021,Item 21,1.54,12
BRC100022,Item 22,11.73,106
BRC100023,Item 23,6.65,49
BRC100024,Item 24,80.39,437
BRC100025,Item 25,72.23,310
BRC100026,Item 26,52.64,325
BRC100027,Item 27,82.68,230
BRC100028,Item 28,23.1,468
BRC100029,Item 29,23.18,193
BRC100030,Item 30,30.94,341
BRC100031,Item 31,49.47,184
BRC100032,Item 32,45.25,411
BRC100033,Item 33,2.45,372
BRC100034,Item 34,4.8,278
BRC100035,Item 35,25.43,495
BRC100036,Item 36,69.28,29
BRC100037,Item 37,25.96,327
BRC100038,Item 38,47.52,454
BRC100039,Item 39,70.95,297
BRC100040,Item 40,16.75,268
BRC100041,Item 41,51.67,2
BRC100042,Item 42,44.67,91
BRC100043,Item 43,40.42,459
BRC100044,Item 44,18.06,321
BRC100045,Item 45,63.66,90
BRC100046,Item 46,7.13,427
BRC100047,Item 47,13.86,231
BRC100048,Item 48,75.74,272
BRC100049,Item 49,83.12,106
BRC100050,Item 50,26.64,369
BRC100051,Item 51,32.64,175
BRC100052,Item 52,58.68,128
BRC100053,Item 53,36.92,2
BRC100054,Item 54,1.4,342
BRC100055,Item 55,32.24,399
BRC100056,Item 56,75.28,26
BRC100057,Item 57,44.1,394
BRC100058,Item 58,29.65,63
BRC100059,Item 59,97.24,19
